customer_id,customer_name,city,state,annual_income,signup_date,loyalty_status,days_since_signup,days_since_last_purchase,transaction_id,transaction_date,store_id,store_type,payment_method,total_items,total_sales_per_transaction,total_profit_per_transaction,total_cost,product_id,product_name,category,unit_price,quantity,satisfaction_score,store_sales,store_profit,daily_footfall,purchase_frequency,total_items_bought,cumulative_spending,cumulative_cost,average_order_value
CUST01059,Ryan Swamy,Mangan,Sikkim,556206,10-09-2020,VIP,1627,94,TRANS01112,08-07-2023,STORE0001,Online,Credit Card,1,2500,625,1875,PROD0003,boAt Rockerz Headphones,Electronics,2500,1,4,225100,38895,335,27,81,1447000,1183535,53592.59
CUST01014,Lohit Biswas,Guntur,Andhra Pradesh,556206,26-03-2020,Regular,1795,84,TRANS06248,02-05-2023,STORE0001,Online,UPI,4,120,42,78,PROD0008,Maggi Noodles 280g,Groceries,30,4,5,551720,93432,335,14,42,298920,248153,21351.43
CUST00541,Bachittar Lal,Prayagraj,Uttar Pradesh,556206,15-02-2021,Regular,1469,18,TRANS02360,20-08-2022,STORE0001,Online,UPI,2,8600,1720,6880,PROD0012,Manyavar Kurta Set,Clothing,4300,2,5,34000,7270,335,29,88,1525580,1249991,52606.21
CUST00059,Tarak Misra,Korba,Chhattisgarh,935516,22-06-2019,Regular,2073,70,TRANS02716,13-10-2023,STORE0001,Online,Credit Card,2,16000,2880,13120,PROD0027,LG Microwave Oven,Appliances,8000,2,3,214200,37316,335,37,100,1282880,1063871,34672.43
CUST00961,Nitara Ganguly,Gangtok,Sikkim,935516,15-03-2019,Regular,2172,54,TRANS05632,09-03-2022,STORE0001,Online,Wallet,3,60000,10200,49800,PROD0019,Urban Ladder Bed,Furniture,20000,3,5,567880,92322,335,29,87,1661860,1366320,57305.52
CUST00647,Sara Karpe,Durgapur,West Bengal,935516,13-08-2022,VIP,925,96,TRANS01491,08-11-2022,STORE0001,Online,Credit Card,1,1600,400,1200,PROD0013,H&M Cotton Shirt,Clothing,1600,1,3,793720,143682,335,22,69,1092600,892395,49663.64
CUST01374,Girik Dubey,Tirupati,Andhra Pradesh,935516,04-10-2022,Regular,873,2,TRANS01525,11-04-2023,STORE0001,Online,UPI,1,27000,5400,21600,PROD0002,"Mi Smart TV 32""",Electronics,27000,1,4,376000,68440,335,26,75,1317930,1088522.5,50689.62
CUST01078,Nathaniel Balan,Agartala,Tripura,5996288,24-08-2018,Regular,2375,31,TRANS09661,30-11-2024,STORE0001,Online,UPI,6,18000,3960,14040,PROD0029,Havells Mixer Grinder,Appliances,3000,6,5,162000,30920,335,28,133,2447950,2020953,87426.79
CUST00881,Januja Kapadia,Rohtak,Haryana,935516,22-02-2022,At Risk,1097,421,TRANS07091,04-09-2022,STORE0001,Online,Cash,3,7500,1650,5850,PROD0011,Levi’s Men’s Jeans,Clothing,2500,3,3,121000,21580,335,20,64,613230,499357.5,30661.5
CUST01023,Unni Devi,Howrah,West Bengal,935516,23-05-2023,Regular,642,51,TRANS09547,08-04-2021,STORE0001,Online,Cash,4,20000,4400,15600,PROD0005,JBL Bluetooth Speaker,Electronics,5000,4,4,181900,34331,335,22,74,1380650,1142511,62756.82
CUST01189,Sneha Lanka,Rourkela,Odisha,556206,10-10-2021,VIP,1232,96,TRANS05737,07-03-2022,STORE0001,Online,UPI,5,25000,5500,19500,PROD0005,JBL Bluetooth Speaker,Electronics,5000,5,4,567880,92322,335,28,81,1513360,1244943,54048.57
CUST00620,Ronith Vohra,Manali,Himachal Pradesh,935516,13-10-2023,Regular,499,38,TRANS03567,27-07-2022,STORE0001,Online,UPI,5,135000,27000,108000,PROD0002,"Mi Smart TV 32""",Electronics,27000,5,5,409330,77294.5,335,31,95,1188850,968942.5,38350
CUST01387,Bhavani Batta,Haridwar,Uttarakhand,935516,11-08-2020,Regular,1657,13,TRANS09365,02-08-2023,STORE0001,Online,UPI,5,175000,31500,143500,PROD0017,Pepperfry Dining Set,Furniture,35000,5,4,657100,122365,335,24,84,1423300,1184775,59304.17
CUST00481,Sathvik Shanker,Thiruvananthapuram,Kerala,935516,16-06-2018,Regular,2444,7,TRANS05098,23-10-2024,STORE0001,Online,UPI,4,96000,14400,81600,PROD0016,Godrej Interio Sofa,Furniture,24000,4,5,132100,21738,335,23,69,827800,687422,35991.3
CUST00716,Charita Chander,Jorhat,Assam,935516,08-07-2021,Regular,1326,57,TRANS06277,04-06-2022,STORE0001,Online,UPI,5,65000,10400,54600,PROD0020,IKEA Bookshelf,Furniture,13000,5,5,176300,31800,335,19,53,549600,452140,28926.32
CUST01455,Pooja Hans,Jowai,Meghalaya,935516,03-12-2020,VIP,1543,101,TRANS02347,13-05-2021,STORE0001,Online,Cash,5,135000,27000,108000,PROD0002,"Mi Smart TV 32""",Electronics,27000,5,3,714000,130650,335,22,63,1036700,844217,47122.73
CUST01461,Theodore Savant,Mangalore,Karnataka,5996288,16-09-2024,Regular,160,35,TRANS03901,19-04-2021,STORE0001,Online,UPI,8,12800,3200,9600,PROD0013,H&M Cotton Shirt,Clothing,1600,8,5,181900,34331,335,21,107,1311100,1087605,62433.33
CUST01461,Theodore Savant,Mangalore,Karnataka,5996288,16-09-2024,Regular,160,35,TRANS00359,05-06-2023,STORE0001,Online,UPI,7,30100,6020,24080,PROD0012,Manyavar Kurta Set,Clothing,4300,7,4,310100,56000,335,21,107,1311100,1087605,62433.33
CUST00009,Charvi Iyengar,Gwalior,Madhya Pradesh,935516,05-09-2019,Regular,1998,45,TRANS03518,29-01-2022,STORE0001,Online,Cash,4,26000,4680,21320,PROD0014,Raymond Suit,Clothing,6500,4,4,208900,33537,335,21,60,1074800,882871,51180.95
CUST00483,Yashawini Sarna,Hubli,Karnataka,556206,10-09-2019,Regular,1993,12,TRANS05223,16-05-2024,STORE0001,Online,UPI,5,20000,4000,16000,PROD0026,Philips Air Fryer,Appliances,4000,5,4,214500,38750,335,35,115,1966000,1636020,56171.43
CUST01375,Siddharth Divan,Tawang,Arunachal Pradesh,935516,22-02-2024,Regular,367,28,TRANS00605,13-02-2021,STORE0001,Online,Cash,1,30,10.5,19.5,PROD0008,Maggi Noodles 280g,Groceries,30,1,3,405530,67338.5,335,31,79,1244530,1033285.5,40146.13
CUST00902,Harish Sharma,Ranchi,Jharkhand,935516,10-10-2021,Regular,1232,38,TRANS01883,28-10-2024,STORE0001,Online,UPI,1,20000,3400,16600,PROD0019,Urban Ladder Bed,Furniture,20000,1,4,132100,21738,335,27,89,1802500,1497445,66759.26
CUST01087,Anthony Thakur,Jabalpur,Madhya Pradesh,935516,16-06-2021,Regular,1348,61,TRANS00713,04-11-2021,STORE0001,Online,UPI,4,22000,4400,17600,PROD0018,Nilkamal Chair Set,Furniture,5500,4,5,368200,65590,335,20,62,950300,792440,47515
CUST00559,Lajita Thaman,Udaipur,Tripura,935516,04-09-2023,Regular,538,69,TRANS02266,21-06-2021,STORE0001,Online,Debit Card,4,280,84,196,PROD0007,Tata Tea Gold 250g,Groceries,70,4,4,230950,39858,335,26,85,870180,720234,33468.46
CUST01021,Brinda Nanda,Vadodara,Gujarat,556206,10-01-2021,Regular,1505,24,TRANS06286,08-11-2023,STORE0001,Online,Wallet,3,81000,16200,64800,PROD0002,"Mi Smart TV 32""",Electronics,27000,3,4,390400,73287,335,25,62,890390,734017.5,35615.6
CUST00853,Laban Desai,Dibrugarh,Assam,935516,04-07-2020,VIP,1695,153,TRANS06371,07-01-2024,STORE0001,Online,Cash,5,12500,3125,9375,PROD0003,boAt Rockerz Headphones,Electronics,2500,5,3,19300,4965,335,22,63,1241600,1028680,56436.36
CUST01189,Sneha Lanka,Rourkela,Odisha,556206,10-10-2021,VIP,1232,96,TRANS07394,28-01-2021,STORE0001,Online,Cash,5,100000,17000,83000,PROD0019,Urban Ladder Bed,Furniture,20000,5,3,359500,62815,335,28,81,1513360,1244943,54048.57
CUST00196,Charvi Khare,Kolkata,West Bengal,556206,13-11-2021,Regular,1198,47,TRANS03923,22-08-2023,STORE0001,Online,Credit Card,2,1000,300,700,PROD0021,Lakmé Foundation,Beauty,500,2,4,657100,122365,335,22,81,952150,783287,43279.55
CUST00150,Vedant Mann,Dhanbad,Jharkhand,556206,12-07-2020,Regular,1687,83,TRANS05601,21-10-2021,STORE0001,Online,Cash,2,48000,7200,40800,PROD0016,Godrej Interio Sofa,Furniture,24000,2,4,86420,15586,335,26,83,1123110,935137,43196.54
CUST00158,Yashica Yadav,Sambalpur,Odisha,935516,15-03-2022,Regular,1076,5,TRANS07129,01-08-2021,STORE0001,Online,Cash,5,100000,17000,83000,PROD0019,Urban Ladder Bed,Furniture,20000,5,4,433900,73410,335,15,44,515000,424250,34333.33
CUST00695,Chasmum Hayer,Lucknow,Uttar Pradesh,556206,17-03-2019,VIP,2170,170,TRANS02178,11-01-2021,STORE0001,Online,Cash,3,7500,1875,5625,PROD0003,boAt Rockerz Headphones,Electronics,2500,3,2,359500,62815,335,25,77,1290030,1084454.5,51601.2
